d(1~2),d(2~3),d(3~4),d(1~4),d(5~6),d(6~7),d(7~8),d(5~8),d(9~10),d(10~11),d(11~12),d(9~12),d(13~14),d(14~15),d(15~16),d(13~16),d(17~18),d(18~19),d(19~20),d(17~20),g(1~2),g(2~3),g(3~4),g(1~4),g(5~6),g(6~7),g(7~8),g(5~8),g(9~10),g(10~11),g(11~12),g(9~12),g(13~14),g(14~15),g(15~16),g(13~16),g(17~18),g(18~19),g(19~20),g(17~20),label
23.3238,21.0238,16.4012,51,21.3776,16,14.1421,9.2195,18.4391,29.2746,8.0623,18.4391,11.1803,22.8035,4.4721,14.8661,11.7047,15.5242,5,8.0623,-1.6667,-21,0.7692,0,5.25,0,7,-4.5,4.5,7.25,1.75,4.5,2,3.6667,0.5,2.8,2.75,3.75,0.75,1.75,0
25.0599,21.0238,15.8114,52,22.3607,20.025,13.1529,11.0454,17.72,27.2947,6.4031,15.2971,11.1803,22.561,4.4721,14.5602,12.083,15.8114,5.831,8.6023,-1.8333,-21,0.6923,0,5.5,20,6.5,-11,3.4,6.75,1.25,5,2,4.4,0.5,3.5,2.2,3,0.6,1.4,0
22.8254,22.0227,18.4391,54.037,21.2132,11.0454,13.0384,4.2426,16.4924,27.2947,4.4721,13.6015,10.2956,20.8806,4,12.083,12.083,15.2315,5,7.8102,-1.8182,-22,0.8571,27,7,-11,13,-1,4,6.75,0.5,3.25,1.8,3.3333,0,2.2,2.2,2.3333,0.75,1.2,0
23.7065,23.0217,17.0294,55.0818,22.3607,15.0333,13.1529,6.7082,15.8114,28.2843,5.3852,15.5242,10.8167,21.8403,5,13,10.2956,15.8114,5.831,10.2956,-1.9091,23,0.8462,18.3333,5.5,-15,6.5,-2,3,7,0.4,3.75,1.5,3.5,0,2.4,1.8,3,0.6,1.8,0
24.5967,22.0227,17.0294,55.0818,21.3776,15,13.0384,7.6158,14.8661,27.4591,4.4721,15.5242,10,21.8403,5.099,13,10.2956,16.1555,5.3852,10,-2,22,0.8462,18.3333,5.25,0,13,-2.3333,2.8,5.4,0.5,3.75,1.3333,3.5,-0.2,2.4,1.8,2.5,0.4,1.3333,0
25.4951,22.2036,16.6433,54.3323,22.3607,16,13.0384,7.6158,16.1555,27.4591,5.3852,14.5602,11.4018,21.8403,5,12.6491,10.8167,15.2315,5.3852,8.6023,-2.0909,7.3333,0.6429,9,5.5,0,13,-2.3333,2.5,5.4,0.4,3.5,1.2857,3.5,0,3,1.5,2.3333,0.4,1.4,0
25.0799,22.2036,15.2643,53.3385,22.561,19,12.1655,9.4868,15.2315,28.4429,4.1231,15.2971,10.6301,23.0868,5.099,13.9284,10,16.1555,5.3852,10.2956,-2.3,7.3333,0.6154,8.8333,4.4,0,6,-3,2.3333,5.6,0.25,5,1.1429,3.1429,-0.2,2.6,1.3333,2.5,0.4,1.8,0
26,22.3607,17.2047,56.5685,24.5153,17.0294,12.1655,6.4031,16.5529,27.4591,5.3852,14.3178,10.6301,23.0868,5,14.8661,11.4018,16.1555,6.7082,10.2956,-2.4,5.5,0.7143,7,4.8,-17,6,-1.25,2.1429,5.4,0.4,4.6667,1.1429,3.1429,0,2.8,1.2857,2.5,0.5,1.8,0
25.9615,20.5913,16.4924,50.6952,23.7697,22,11.1803,10.7703,17.8885,27.2947,5.831,14.0357,12.0416,25,6,16.4924,10.6301,17.088,5.831,11.7047,-3.5714,1.8,0.25,2.4737,3.8333,0,5.5,-2.5,2,6.75,0.6,14,0.8889,3.4286,0,4,1.1429,2.6667,0.6,2.75,0
22.561,20.2485,14.7648,49.7695,14.4222,23.0217,7.2801,18.6815,14.2127,26.6833,4.4721,17.0294,9.434,24.3516,5.099,17.72,6.3246,17.4642,5,15.2315,-4.4,1.5455,0.5385,2.4211,1.5,23,3.5,-3.6,1.2222,4.3333,0.5,17,0.625,2.875,-0.2,3.4,0.3333,2.2857,0,2.3333,0
22.8035,19.7231,15.2315,48.4665,21.0238,17.2627,12.0416,14.8661,17.0294,24.3311,8.4853,17.0294,11.6619,21.1896,6.3246,16.2788,8.9443,15.2315,7.2801,13,-3.6667,1.7,0.4286,2.5,2.1111,-5.6667,12,-0.9091,1.1818,6,1,-17,0.6,2.8571,0.3333,5.3333,0.5,2.3333,0.2857,2.4,0
22.0227,19.2094,16.1245,51.4782,19.2354,21.095,10.198,14.8661,12.0416,24.7386,4.1231,16.1245,9.8489,21.9317,5.3852,14.8661,8.6023,14.7648,6,10,-22,1.25,0.5714,1.8,1.8889,10.5,5,-2.8,1.125,4,0.25,8,0.4444,2.2222,-0.4,2.8,0.7143,1.8571,0,1.3333,0
21.095,19.105,15.6525,48.8774,21.5407,15.2971,14.0357,13.4536,18.868,23.0217,10.7703,17.72,14.8661,21.3776,11.3137,19.0263,10.8167,13.9284,9.434,12.6491,-10.5,1.0769,0.5,1.68,2.5,-5,14,-0.9,1.6,23,2.5,-3.4,0.9091,5.25,1,19,0.6667,2.6,0.625,3,0
22.0907,18.4391,14.3178,47.8853,16.6433,17.2627,12.0416,18.6011,16.6433,22.0227,9.8489,17.4642,12.2066,21.587,9.2195,20.0998,8.9443,14.8661,6.7082,13.3417,-11,1.1667,0.4615,1.8261,1.5556,-5.6667,12,-1.3636,1.5556,22,2.25,-4.25,0.7,4.2,0.8571,10,0.5,2.8,0.5,4.3333,0
23.3452,19.105,14.3178,46.1411,18.3848,19.0263,12.1655,14.5602,19.6977,23.3452,8.544,13.0384,14.7648,21.8403,5.6569,12.3693,9.434,15.2315,5,10.2956,-5.75,1.0769,0.2143,1.7391,2.4286,19,6,-3.5,2.25,5.75,2.6667,-13,1.8571,3.5,1,4,1.6,2.3333,0.75,1.8,0
23.1948,19.8494,14.8661,49.2443,19.4165,19.105,14.0357,14.8661,16.1245,23.0217,6.7082,15.5242,12.8062,19.4165,5,12,9.2195,13.6015,5,9.2195,-7.6667,1.1538,0.3571,1.7917,4.75,-9.5,14,-2.8,1.75,23,2,-3.75,1.25,4.75,0.75,0,1.1667,3.25,0.75,4.5,0
24.3516,19.6977,14.8661,48.0833,19.9249,22.0227,11.4018,14.1421,21.1896,27.1662,9.8489,16,13.4164,23.5372,7.8102,17.4642,10.7703,15.5242,6.4031,10.7703,-2.875,2.25,0.3571,3.2857,3.1667,22,3.6667,-7,2.8571,9,2.25,0,2,4.6,1.2,4.25,2.5,3.75,1.25,2.5,0
23.7697,19.105,15,50.01,23.3452,21.095,17.2627,15.0333,24.5153,25.4951,16.7631,17.72,25,24.0416,15.2315,14.3178,13.9284,17,12.2066,15.6205,-2.4444,-9.5,0.75,50,5.75,10.5,5.6667,15,4.8,5,3.2,3.4,3.4286,3.2857,2.3333,2.1667,2.6,1.875,1.4286,1.2,0
24.1661,19.0263,14.4222,49.0102,23.1948,20.0998,17.1172,14.0357,25.4951,25.4951,15.5242,15.5242,25.9615,22.8035,15.2315,12.083,16.1555,16.1245,12.2066,12.7279,-2.2,-19,0.6667,49,7.6667,10,8.5,14,5,5,3.75,3.75,3.5714,3.6667,2.3333,2.2,2.5,1.75,1.4286,1,0
25.0799,18.4391,12.3693,44.4072,23.1948,19.2354,14.1421,10.198,24.3311,24.7386,11.4018,12.083,22.561,23.4094,10.7703,12.2066,14.1421,15.6525,8.0623,11.4018,-2.3,4.5,0.25,7.3333,7.6667,6.3333,7,5,6,4,3.6667,2.2,4.4,2.75,2.5,1.4286,7,2,1.75,0.7778,0
22.3607,20,13.6015,48.0104,22.3607,16.2788,16.1245,10.0499,24.5153,24.7386,14.3178,14.5602,17.4642,23.4094,10.4403,16.5529,13.1529,15.6525,7.2111,11.4018,-2,0,0.7273,48,5.5,5.3333,8,10,4.8,4,4.6667,3.5,4.25,2.75,3.3333,2.1429,6.5,2,1.5,0.7778,0
24.1868,20.025,13.6015,49,24.3311,13.1529,15.2971,4.1231,21.2132,24.7386,13.3417,17.088,17.2627,23.0868,11.4018,17.4642,14.1421,17,8.544,12.7279,-1.75,20,0.7273,0,6,6.5,5,4,7,4,4.3333,2.6667,5.6667,3.1429,3.6667,2.2857,7,1.875,2.6667,1,0
26.8328,22,11.4018,49.0102,26.0768,12.6491,14.3178,5,19.0263,23.7697,9.2195,14.7648,20.0998,24.3516,10.4403,15.8114,16.0312,17.8885,8.9443,13.6015,-2,0,0.2727,-49,13,3,4.6667,0,19,3.8333,4.5,1.8571,10,2.875,3.3333,1.4444,16,2,2,0.7273,0
27.4591,20.3961,14.2127,52.6118,30,13.6015,15.2971,11.7047,27.1662,25.0799,14,16.4012,26.1725,26,13.0384,17.8045,20.0998,17.2047,11.4018,15.8114,-1.5333,-5,0.8182,-6.5,0,1.375,5,-0.3636,-9,2.3,0,0.7692,-8.6667,2.4,13,0.7857,-10,1.4,3.6667,0.3333,0
32.249,21.3776,12.53,55.7315,25.2982,24.3311,12.3693,15,22.4722,29.4279,9.434,17.8885,21.0238,27.4591,9.8489,19.7231,21.1896,19.6977,10.198,15.2643,-1.75,-5.25,0.5455,-6.1111,-3,6,-4,1.3333,-2.625,5.8,-1.6,2,-2.1111,5.4,-2.25,1.7,-2.8571,2.25,-5,0.6154,0
